id,create_date,product_id,content,trip_start_date,user_name
141,2021-06-23 16:27:37,180309602,总的来说还是很不错的，导游人也挺好的，不会强行购物。,2016-05-14,a***9
142,2021-06-23 16:27:39,2231027734,帮家里老人报的团，老人们十分满意。导游欢欢非常尽责，也不会强制自费项目和强制购物。,2016-05-14,a***9
150,2021-06-23 16:27:56,1010618456,玩的很愉快,2016-05-14,c***9
259,2021-06-23 17:05:17,2127104418,导游杨导人很好，也是品质可以的团，住的地方很干净，比起其他旅游团确实多不错的，满意非常开心～ ,2016-05-14,e***2
260,2021-06-23 17:05:19,3707919908,第一次跟团出去就玩的这么开心，很满意,2016-05-14,c***9
261,2021-06-23 17:05:41,2770153335,时间特别好,2016-05-14,c***9
397,2021-06-24 08:51:19,4219314304,总体来说还是很划算的。全程3天最后一天还是全程购物，虽然没有强制买卖，但是导游脸色和对游客的关心程度还是会和消费程度挂钩。不过也能理解，毕竟团费真的很便宜。反正玩的时候大家还是玩的很开心滴。,2016-05-16,s***1
258,2021-06-23 17:05:15,2127104418,非常美好的一次旅游，真的很棒~~,2016-05-18,f***9
402,2021-06-24 08:51:29,4219314304,住宿很一般，吃的东西完全不想多评价，不过也能理解，本来对那些地方的吃的也没报太大希望，但是两个景点确实非常不错，都特别美，值得去看看，有一个购物店，导游态度也很好，没有购物也没有给我们摆脸色，总之还是不错的,2016-05-18,p***0
399,2021-06-24 08:51:23,4219314304,九寨沟真的很美，随手一拍就是电脑桌面，大草原也不错，全程都很舒心，也没有强制消费，没有一点被坑的感觉，棒棒哒，跟团确实比自由行便宜，也方便，不用排队买票，导游也不错,2016-05-19,p***0
403,2021-06-24 08:51:31,4219314304,餐食一般，还好自备了零食，简直不要太机智，住宿还行，导游很不错，高反有点但不严重，能克服，红景天很贵，建议去之前在药店买，草原那个有推荐骑马，胆小没去，送的两个晚会也可以看下，反正是送的，,2016-05-19,n***4
147,2021-06-23 16:27:49,1010618456,非常好，非常超值，行程安排很好，住的很不错很舒服。吃的也还OK，郑导游很负责，值得推荐,2016-05-20,f***9
148,2021-06-23 16:27:51,2231027734,很棒！导游很棒！司机很棒！吃的很棒！住的很棒！超值！,2016-05-20,f***9
149,2021-06-23 16:27:54,180309602,很好的一次旅游，导游也很好 ,2016-05-20,f***9
255,2021-06-23 17:05:08,2770153335,整个行程安排非常人性化，酒店必须点赞，全程没有任何强制消费，导游周导很认真负责，总是不厌其烦的提醒大家扣好安全带等等，价格也很实惠，总之非常满意！,2016-05-20,f***9
257,2021-06-23 17:05:12,3707919908,行程很满意。价格很划算，导游很负责任，酒店太棒了。物有所值， ,2016-05-20,f***9
398,2021-06-24 08:51:21,4219314304,导游非常好，一路都在细心解说，非常用心。 我们去的那天刚好遇到**量特别多的一天，不过还好九寨管理规范检票乘车，在进沟之后**分散，比想象中好很多。而且这个季节的九寨确实美丽依旧。 大草原也很美，就是现在还没多少花。 有一个购物店，虽然是自愿消费不强制的，由于导游用心，团内很多人都比较照顾，还是买了很多东西。我和朋友也买了很多梳子和银饰等。 餐食确实不好，所幸给我们安排的住宿还不错。 第二天晚上自愿消费的晚会一般（不是九寨千古情），不多说。,2016-05-20,n***6
400,2021-06-24 08:51:25,4219314304,重点说下导游，表扬一下，很热情，一路上给我们唱藏歌，还提醒我们哪些东西千万不要买，他自己买了零食放在车前面，还没到目的地就被我们几个吃完了，一路上非常的耐心，大大的好评，其他的都还好，团餐也没有想象中那么遭，若尔盖很适合拍文艺范照片，哈哈，这么低的价格真的很划算,2016-05-20,n***6
262,2021-06-23 17:05:43,2127104418,天时地利人和，一次非常不错的旅行，经济实惠，又省心,2016-05-21,l***5
401,2021-06-24 08:51:27,4219314304,本次旅行非常满意，第一次游九寨沟加大草原，导游也很尽责，人很nice，最主要的是没有强制消费，出行前最怕这个了，毕竟团费这么低，很划算,2016-05-21,k***9
392,2021-06-24 08:50:48,4219314304,导游太差劲,2016-05-25,m***1
389,2021-06-24 08:50:42,4219314304,一路上很辛苦也很开心，不过因为吹了冷风，凉到胃，第一天晚上吐惨了T_T。。。这个季节感觉不是最好，枯水，草原也没几根青色的草。。不过能看到不同季节的景色也不错，下次秋天去～伙食在藏区实在不敢恭维，牧场的伙食却出奇的棒～自己带了点吃的，也在小超市买了些零食，小日子滋润着呢～下次再跟我家乖乖一起出来玩，店家给点优待呗，住宿条件蛮不错的，有民族特色，就是在草原上没有空调跟电热毯，冷死本宝宝(→o←),2016-05-27,p***0
146,2021-06-23 16:27:47,180309602,整趟给一个大大的赞，已经推荐给朋友了。导游是彭亚玲，经验非常丰富，一路上坐车的时间长，导游时不时给我们讲解介绍，风趣幽默，收获很多。司机大叔话不多但是开车开得非常稳,2016-05-28,s***9
391,2021-06-24 08:50:46,4219314304,我们这个团队意见很统一，相处很融洽，一路上导游讲历史典故，讲亲身经历，讲解使旅途更精彩，故事让大家多遐想，到行程结束，大家已经称呼称兄道弟了。一路相随，当然司机师傅也很辛苦，很负责。,2016-05-29,n***4
143,2021-06-23 16:27:41,1010618456,非常好的一次旅行，住的酒店非常好，又干净又上档次，这么便宜的价钱，行程安排也合适，不累，导游寒月很敬业，很好！性价比很高，真替旅行社担心怎么能赚钱。。,2016-05-31,s***9
144,2021-06-23 16:27:43,2231027734,很满意的一次行程，导游尽职尽责，一路上很贴心，没有任何推销和强制消费，有一说一！很实诚的，准备下次给家人报一个，希望还能遇到这么好的导游！,2016-05-31,s***9
145,2021-06-23 16:27:45,180309602,中青旅安排还是依旧满意的。杨导非常尽责，住宿酒店还算不错的啦~,2016-05-31,s***9
256,2021-06-23 17:05:10,2770153335,很不错的旅行。没有强制性的消费，导游沈导很不错，给我们细心的讲解。给大家讲当地的民俗风情。语言问候。等等，一次开心的旅程，以前不相信有这么好的团。实际现在的旅游团真的很好。服务好。无强制消费。希望以后这样的团在多一些。,2016-05-31,s***9
133,2021-06-23 16:26:59,2231027734,这是我第一次去重庆，被重庆这魔都是深深的吸引了，不愧是山城，山清水秀。,2016-06-01,x***1
134,2021-06-23 16:27:02,1010618456,旅行不累但有趣，去旅行之后回到成都吃了一顿地道的四川火锅，欣赏了一下成都夜景。,2016-06-01,x***1
246,2021-06-23 17:04:27,3707919908,这次旅游还是蛮满意的！而且导游待人很亲切！讲话直爽！各方面都考虑的很周全！待人真诚！方方面面都为我们考虑！,2016-06-01,x***1
247,2021-06-23 17:04:30,2770153335,虽然只有一天的行程，但是安排得非常合适，玩得也很高兴，不虚此行。,2016-06-01,x***1
393,2021-06-24 08:50:50,4219314304,草原虽然花和草不多但是依然美丽，九寨沟很漂亮，还想再去一次,2016-06-01,f***7
394,2021-06-24 08:51:12,4219314304,超级差的旅行社，报了团还要再交一百，导游更差，第一天就让我们去什么平价超市购物，其实在九寨沟那边价格都一样，还给我们推荐什么一百八草原火锅，我们车上的人都不去她就没把我们带到草原那个景点，在中途一个特别荒凉的地方就让我们下车说这就是草原，后来我们团的人和她理论她们态度还特别差，最后一天更气愤，全部是带我们去购物点，不买东西导游还生气，最气愤的是一个什么南红翡翠店，全是骗局大家千万小心。反正是一次特别差的旅行。大家千万不要报这个团,2016-06-01,王***美
395,2021-06-24 08:51:15,4219314304,真的很棒，导游是当地导游，人很实在也很贴心，关心团里成员，司机师傅也很好。住的条件真是很好，爱上了宾馆的菜，全程团里带的餐都很好很丰盛。这个钱真是值了，学生证还退了一百块钱，很棒！！！强烈推荐！,2016-06-01,c***3
396,2021-06-24 08:51:17,4219314304,"此次九寨之行出乎意料之外，导游****很贴心,考虑到家里有小盆友特地照顾我们，司机师傅特别辛苦但是很棒会跟我们聊天讲笑话。九寨沟非常漂亮，而且当天的天气很好 蓝天白云，青山绿水，风景如画，黄龙的话个人还是比较中意的虽然海拔高一点但是高处更能看到美景啊，虽然整个行程蛮考验体力的，但还是值得去看看！   ",2016-06-01,c***3
135,2021-06-23 16:27:04,180309602,还是第一次在网上订购旅游项目了。特别完美的旅行。性价比非常的高。服务态度很好。很满意的一次旅游。,2016-06-02,w***8
136,2021-06-23 16:27:06,2231027734,整体安排很好，路线也很合理，家人朋友都很满意。服务也很好，都能及时跟进。,2016-06-02,w***8
137,2021-06-23 16:27:08,1010618456,以前旅游都是自由行，这次时间匆忙没有时间整理行程，在网上报名参加，总体感觉很不错，时间不紧凑，也没有强制购物,2016-06-02,w***8
248,2021-06-23 17:04:32,2770153335,"好美啊,这里风景独特,让人不仅心旷神怡,,五星品质.导游服务态度好，讲解到位..没有任何强迫购物.",2016-06-02,w***8
249,2021-06-23 17:04:34,3707919908,**都拍不下了，美丽的风景，玩的很开心，团上收费都非常合理，没有强制购物，很不错的团。,2016-06-02,w***8
250,2021-06-23 17:04:36,2127104418,不错的旅行社，值得信赖，值得给朋友推荐的一个卖家，客服很好，这次四川旅游都是在网上订的，但是沿途非常愉快，中间尽管也会出现点问题，但解决起来很快，四川的卖家是负责任的卖家，谢谢啦，下次还会选择这家。,2016-06-02,w***8
251,2021-06-23 17:05:00,2127104418,景点游览时间足够。旅游大巴舒适度一般。但蒋师傅及小鲜导游都是为人直爽认真负责的好人,2016-06-02,h***2
388,2021-06-24 08:50:40,4219314304,九寨沟非常漂亮，草原也不错，这次旅行很开心，餐饮和住宿都还比较满意，没有强制购物，性价比高,2016-06-02,e***2
390,2021-06-24 08:50:44,4219314304,旅途非常愉快，九寨沟特别美，环境好，草原也不错，最主要的是导游非常热情，据说马上就要进入旺季了，价格还是比较便宜划算的，但是导游一点都没有坑我们，整个行程非常轻松，好评！,2016-06-02,g***3
139,2021-06-23 16:27:12,1010618456,这是我最满意的一次旅游，导游服务热情，百问百答。酒店服务也很不错，环境很好，卫生很不错，时间自由，玩得开心。,2016-06-04,r***4
140,2021-06-23 16:27:14,2231027734,导游魏野很负责，很热情。,2016-06-04,r***4
252,2021-06-23 17:05:02,2770153335,很满意的一次旅游，整个行程安排的很紧凑，住的酒店很满意，带我玩转了四川的所有美丽的景色,2016-06-04,r***4
253,2021-06-23 17:05:04,3707919908,此次之行最满意的是我们的导游魏导，服务非常赞,2016-06-04,r***4
254,2021-06-23 17:05:06,2127104418,的地方挺不錯，導遊人也好，服務周到，不懂的都可以幫忙解決,2016-06-05,n***7
387,2021-06-24 08:50:37,4219314304,这次旅游整体还是非常不错的。早上有大巴车过去接然后去景区。整车的人都比较年轻化。交谈都比较有话题。氛围很融洽。司机的技术非常好，很安心。导游人也特别的好相处，为人活泼，实在。每个季节都有每个季节的风景，很不错，很满意,2016-06-07,n***1
138,2021-06-23 16:27:10,180309602,此次全家老小一同出行，出发前我甚为担心，但证明是多余的，因为选对了旅行社，又遇上了好导游——孙哲。孙导真是极好的导游，细致周到，又言语带笑，亲和力强。司机师傅的开车技术超好的，非常平稳。客服很有耐心，不厌其烦地解疑答惑。不多说了，5分好评。,2016-06-08,r***4
384,2021-06-24 08:50:31,4219314304,出发前一天司机打电话确定了接我们的地点，要求我们三点四十等着他接，结果到了车子**的地方我们又冒着雨干等了一个多小时。龙导讲解的还是很好的，因为当过兵吧，很有一股直爽气，很干练。出发前已经做好了被推销购物的准备了，但是第一天在车上导游一直挨个劝让我们消费骑马和藏式火锅的时候还是有点儿不开心，带点儿半威胁吧，说我们的消费情况和他的服务质量挂钩，但是体验还是挺不错的。第三天说是看羌寨啊藏寨啊其实都是购物点，藏银和羌绣。因为全是90后大部分是学生，购物很少，但导游算好的了，至少没开骂。九寨沟是真的很漂亮，就是一会儿一个天气，雨伞外套什么的都要准备好，短袖加外套就行，沟内很大，我们一天的时间都还有点赶，出发前导游说了哪些景点这个时候可以看，哪些没必要去，所以还是挺好的。餐食嘛，还好，但自己还是有必要带点榨菜什么的。住宿是标间，挺好的，就是没有洗漱用品，需要自带。,2016-06-09,v***0
376,2021-06-24 08:49:54,4219314304,第一次参加国旅的团，预订的工作人员态度超好。我没有抱团经验，一直问她们，一直耐心的给我解释。从开始到整个行程结束我都觉得很满意，所以好评必须给你们。,2016-06-10,l***5
385,2021-06-24 08:50:33,4219314304,预订服务挺好的，导游总体来说还是不错的，减肥餐也是一种体验，互相理解，挺经济实惠性价比高的一次出游，好评！,2016-06-15,g***2
386,2021-06-24 08:50:35,4219314304,大家看清楚，镰刀坝不等于若尔盖，导游好，行程少，性价高，不要跑。,2016-06-15,g***2
130,2021-06-23 16:26:33,180309602,导游很能说，非常不错。行程紧凑，吃住一般般。车上时间比较长，收拾好心情，变坐车边望望窗外，在和导游吹吹，倒是也不觉得累。,2016-06-20,x***8
131,2021-06-23 16:26:55,1010618456,一次很好的旅游，愉快，购物也不强制，旅游购物还是小贵哦,2016-06-20,x***8
132,2021-06-23 16:26:57,2231027734,这是我们的毕业旅行 来到了很美的地方 导游服务态度很好也没有强制消费 爬了两天山最后一天体验藏族文化 就是有点累,2016-06-20,x***8
243,2021-06-23 17:04:21,2770153335,这次旅行比较满意，价格便宜但服务却没打折！吃的不是很差，住宿就超赞了！大巴司机刘司傅车技过硬，导游花花待人非常热情，并没有因客人未购物不高兴，一跑上对所有人尽心尽力的照顾！为这种好导游点大大的32个赞是个值得信赖的旅游网站！,2016-06-20,x***8
244,2021-06-23 17:04:23,3707919908,愉快的一次旅游，花花导游很棒！一路上也很照顾大家，没有强制我们消费,2016-06-20,x***8
245,2021-06-23 17:04:25,2127104418,导游阿朵给了我很深的印象，甜美悦耳的声线，动听的歌声，能说会道，真的给我第一次跟团游留下了很深的印象。安排妥当，哈哈帮我们升级了酒店,2016-06-20,x***8
129,2021-06-23 16:26:31,1010618456,导游何燕姐姐很负责任，我们的团是散客拼团 里面有很多老人，导游很尽责的告诉我们各样注意事项，很好,2016-06-23,y***8
240,2021-06-23 17:03:54,3707919908,两个人真的比较便宜 吴姐（导游）提前一天就给我们打了电话 定了地方见面 还包接送 特别贴心 有学生证还可以免费两个景点的优惠特别棒 去的路上师傅开车特别的稳 我平时有点晕车那几天都没有不舒服 一路上大家都有说有笑 特别有爱 学生嘛 出去就喜欢这种感觉 吃的也比较好住的也满意 ,2016-06-23,y***8
241,2021-06-23 17:04:17,2127104418,行程是旅游团安排的，有些紧凑，但是不算累，玩的时间够充足，用车什么的都很方便。,2016-06-23,y***8
242,2021-06-23 17:04:19,2770153335,第一次跟团旅游，很欣慰这是一次难忘的旅行。感谢杨导，感谢司机大哥，感谢同行的22位成员，感谢中青旅。,2016-06-23,y***8
383,2021-06-24 08:50:09,4219314304,那个导游就是一个傻B，我们不下车去购物点，还指着我们凶我们。,2016-06-23,w***4
366,2021-06-24 08:49:13,4219314304,我婆婆妈妈特意嘱咐我说让我给大大的好评，婆婆和公公还有大姨大姨夫，一行四老人，都非常满意，无论是玩的吃的喝的住的都觉得物美价廉，也没有强制消费，说是导游特别好，会说话懂幽默，一个人带这么多人还能顾及到每一个人，多谢他。而且同行的人都没有在这家网店订的便宜，真心好！,2016-06-30,y***3
367,2021-06-24 08:49:15,4219314304,一路下来，感觉跟团游真的很不错，比自驾游省很多，而且通过导游的讲解，可以了解很多当地的风土人情和历史故事！一路上住宿都是当地最好的，吃的也好，最主要的是，没有强制消费……九寨沟的风景一年四季不同景，真的很漂亮，景区内管理规范，消费合理，大赞(≧▽≦)/,2016-06-30,c***2
368,2021-06-24 08:49:17,4219314304,这个团总体还是很不错的，住的不错，符合要求！让我对跟团游发生改观，但是说好的睡到九点半**并没有呢，还是七点多就**了，团餐也还行，虽然没有强制性购物但是最后一天时间全在购物点了，不过也不要紧，毕竟行程之中的安排！,2016-06-30,c***2
370,2021-06-24 08:49:21,4219314304,价格便宜，服务质量好。,2016-06-30,z***6
371,2021-06-24 08:49:23,4219314304,玩得非常愉快,2016-06-30,z***5
372,2021-06-24 08:49:25,4219314304,很不错，导游很热情，讲解也很幽默，九寨沟的景色真的是太好了，不去真的会遗憾的，唯一美中不足的就是吃的团餐很差，总体来说这次的体验还是不错的。,2016-06-30,k***4
373,2021-06-24 08:49:28,4219314304,客服很细心，告诉我们去九寨沟要带的必需品，导游服务也很到位，进了购物店的但是也没有强制消费，九寨沟的景色确实很美，值得一看，不过餐确实是不好吃，不过事先客服已经告知过了，我们自己准备了一些零食。总体来说行程安排还是很满意的！,2016-06-30,k***4
374,2021-06-24 08:49:50,4219314304,要不是导游和其它工作人员态度好，我就投诉那个接车的师傅了。太度一点都不好，说了接我们的时间就把电话挂了。哎，算了。毕竟这三天都是导游陪着我们，一路上导游态度都超好。对我们特别照顾，虽然有推荐消费，但是都没有强制消费,2016-06-30,l***5
375,2021-06-24 08:49:52,4219314304,导游很好，玩得很开心。没有任何强制消费。,2016-06-30,s***0
377,2021-06-24 08:49:56,4219314304,除了90后加了钱不满意，其他的都还是非常满意。不过算下来也差不多，比自己去划算。学生证还有优惠，虽然加了钱，算下来也差不多。其他旅行社都不收我们全是90后，这一家让我圆了去九寨沟的梦。还是很感谢,2016-06-30,d***4
378,2021-06-24 08:49:58,4219314304,朋友介绍来的，虽然吃的不是住的不是很好。但是可以理解，毕竟团费这么便宜划算。还有可能那边,2016-06-30,s***0
380,2021-06-24 08:50:03,4219314304,性价比很高，对比了很多家。最后还是选择了这家，第一天和第二天都是纯景区游玩，第三天虽然去了购物店，但是导游都是让我们自愿选择消费。这一点我真的很满意，以前朋友去的时候说遇到导游强制消费。感觉自己这次超幸运，一路都很开心,2016-06-30,m***2
381,2021-06-24 08:50:05,4219314304,吃得不是很好，那边的吃的真的不要报太大希望。但是风景很美，开物超所值。下次还会再来,2016-06-30,m***2
382,2021-06-24 08:50:07,4219314304,这次玩得很开心，导游人超好，一路上给我们讲解那边的风土人情，感觉特别有趣，自己去好玩，一个团边周边玩，还认识了好多朋友。开心,2016-06-30,w***4
379,2021-06-24 08:50:01,4219314304,"我们是8号家庭！导游青青！司机肯定老司机，哈哈。车技很棒，而且很幽默！必须要给一个大大的赞，一路上欢声笑语，而且服务超级周到。全程没有强制消费，我们自己买了一些好吃的，很棒！九寨沟，不虚此行！下一次带父母来！",2016-07-04,不***根
369,2021-06-24 08:49:19,4219314304,很好，下次来成都还来玩,2016-07-12,z***6
126,2021-06-23 16:26:24,180309602,玩得非常愉快,2016-07-14,t***0
239,2021-06-23 17:03:52,2127104418,总的来说这个旅游团还可以，旅游车，住宿，酒店餐还都可以，景区也很满意，不愧是是五A景区，都很干净，景色很美,2016-07-14,t***0
128,2021-06-23 16:26:28,2231027734,很累，但是很漂亮，游玩内容很丰富，吃住都很不错，导游也很认真负责,2016-07-15,t***0
127,2021-06-23 16:26:26,180309602,"很好很赞的一次旅途，整体感觉四川的旅游都很享受。导游的素质也很高。
对四川和陕西导游的印象都特别好，然后云南和北京的导游素质都差。",2016-07-16,t***0
124,2021-06-23 16:26:20,2231027734,导游很和善，不会说强制消费，随意，人也不错，爽快，行程比较紧，不过合适，餐饮很好吃，并不是之前网上看到的饭很难吃，唯一就是有点点硬而已，在宾馆的饭菜相当可口清爽，服务也超级好，师傅开车很稳当，运气很好，没有堵车而且阳光明媚，这个价格太值得，我和弟弟一直觉得太划算都不好意思了,2016-07-20,b***8
365,2021-06-24 08:49:11,4219314304,"我是22出发的8号家庭,虽然一个人，在导游宇哥的带领下玩的很开心，宇哥很幽默风趣，对我们很好，一路上给我们讲解了很多藏羌文化，一路上的景色很美，九寨沟风景更没话说，住宿吃的方面蛮好的，没有强制消费，真的非常值，推荐大家有机会一定要来。",2016-07-22,v***9
364,2021-06-24 08:49:09,4219314304,这次旅程非常愉快，导游希希姐非常热情的讲解，九寨沟风景真的很美，冬天再来看一次,2016-07-25,i***3
125,2021-06-23 16:26:22,180309602,好！赞赞赞～,2016-07-26,i***0
238,2021-06-23 17:03:50,2127104418,风景超级美，就冲这个也就值了~,2016-07-26,i***0
